Imputation_ID,Site_ID,Target_Column_1,Target_Column_2,Iteration_Completed,Algorithm,Note
5,Central,Imputed_Value_5_0,0,50,SIMICE,R-compliant SIMICE imputation 5 stored at central site
5,Central,Imputed_Value_5_1,1,50,SIMICE,R-compliant SIMICE imputation 5 stored at central site
5,Central,Imputed_Value_5_2,0,50,SIMICE,R-compliant SIMICE imputation 5 stored at central site
5,Central,Imputed_Value_5_3,1,50,SIMICE,R-compliant SIMICE imputation 5 stored at central site
5,Central,Imputed_Value_5_4,0,50,SIMICE,R-compliant SIMICE imputation 5 stored at central site
5,Central,Imputed_Value_5_5,1,50,SIMICE,R-compliant SIMICE imputation 5 stored at central site
5,Central,Imputed_Value_5_6,0,50,SIMICE,R-compliant SIMICE imputation 5 stored at central site
5,Central,Imputed_Value_5_7,1,50,SIMICE,R-compliant SIMICE imputation 5 stored at central site
5,Central,Imputed_Value_5_8,0,50,SIMICE,R-compliant SIMICE imputation 5 stored at central site
5,Central,Imputed_Value_5_9,1,50,SIMICE,R-compliant SIMICE imputation 5 stored at central site
